DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;OP_CODIGO;NUM_PARTIDO;CANDIDATO_CODIGO;CANDIDATO_ORDEN_LISTA;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_GRUPO_EDAD;CANDIDATO_TERRITORIO_CODIGO;CANDIDATO_TERRITORIO_NOMBRE;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_PROVINCIA_NOMBRE;CANDIDATO_CIRCUNSCRIPCION_CODIGO_ORIGINAL;CANDIDATO_CIRCUNSCRIPCION_CODIGO;CANDIDATO_CIRCUNSCRIPCION_NOMBRE;SUPLENTE1_NOMBRE;SUPLENTE1_SEXO;SUPLENTE1_GRUPO_EDAD;SUPLENTE2_NOMBRE;SUPLENTE2_SEXO;SUPLENTE2_GRUPO_EDAD
7;7;42;035017;930;1;ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN;1;4;1;1;1;1;0;10;10;JUCA SALAZAR MERCEDES DEL ROCIO;2;3; ; ; 
7;7;620;003;1654;3;CAMPOVERDE DURAN JOSE RICARDO;1;4;1;1;1;1;0;10;10;CABRERA MEDINA MARIA MARGARITA;2;5; ; ; 
7;7;676;019;1815;3;ULLOA RODAS JOSE MAURICIO;1;4;1;1;1;1;0;10;10;LEON REMACHE CARMEN PATRICIA;2;1; ; ; 
9;9;618;006;504;3;VINTIMILLA MOSCOSO PAOLA;2;3;1;1;0;0;0;0;0;MARIN LAVAYEN DENNIS GUSTAVO;1;3; ; ; 
7;7;3;021023062;165;1;BERNAL BERNAL ESTEBAN REMIGIO;1;3;1;1;1;1;0;10;10;ASTUDILLO LOOR LINA GLORIA;2;5; ; ; 
7;7;740;007;323;3;RIVADENEIRA PINO FRANKLIN WASHINGTON;1;3;1;1;1;1;0;10;10;GUAILLAS CALLE MARIA JOSE;2;1; ; ; 
7;7;42;035017;936;3;LLORET VALDIVIESO JUAN CRISTOBAL;1;2;1;1;1;1;0;10;10;DELGADO ORELLANA SUSANA DEL CARMEN;2;3; ; ; 
7;7;3;021023062;168;4;GRANDA OCAMPO MELIDA MARLENE;2;3;1;1;1;1;0;10;10;PESANTEZ FARFAN JOSE VICENTE;1;5; ; ; 
7;7;741;005;1628;1;VALDEZ MARTINEZ TANIA HORTENSIA;2;3;1;1;1;1;0;10;10;LUCERO SANCHEZ CESAR RICARDO;1;3; ; ; 
8;8;2;021023;186;3;MONSALVE TAMARIZ DIEGO ANDRES;1;2;1;1;0;0;0;0;0;ESPIN DIAZ MARIA DE LOS ANGELES;2;1;GUEVARA GUZMAN CESAR PATRICIO;1;2
